id,name,function,safety_level,category,warnings
0196ce17-da38-494a-b85c-ed961044b4a8,DISODIUM PHOSPHATE,Buffering Agent,Safe,pH Adjuster,None
029e2d01-24fe-4efa-9f3f-e951b8d01f80,GENTIANA LUTEA (GENTIAN) ROOT EXTRACT,Skin Conditioning,Safe,Natural Extract,None
03b2e2c2-d1d7-4bf3-b0b4-3211d40dcdad,Sodium Lactate,Skin Conditioning and Buffering Agent,Safe,Humectant,None
050c3870-5a62-4173-b2b4-0abba33b73fd,Water / Eau,Solvent / Diluent,Safe,Base,None
077f7a55-60ab-48eb-a04f-36c679394762,Avena Sativa (Oat) Kernel Extract,Soothing and moisturizing; helps calm irritated skin,Safe,Botanical Extract,Rare allergic reactions possible in those sensitive to oats
07cb553f-beed-4904-bff3-837ea762ff09,SAFFLOWER GLUCOSIDE,Skin Conditioning,Safe,Natural Extract,None
094a874b-b5bf-4aeb-ae72-8f431e2522ae,GLYCERYL LINOLENATE,"Skin Conditioning, Emollient",Safe,Emollient,None
099afdbb-bc95-4e6f-99e0-36cb3a487238,ALPHA-ISOMETHYL IONONE,Fragrance,Allergen,Fragrance,Known allergen; must be listed separately
0d24fbee-4346-4423-bb4d-8ab05b445629,Glyceryl Stearate,Helps blend oil and water; provides smooth texture,Safe,Emulsifier / Emollient,Generally well-tolerated
106983e9-8f44-4c5a-bc51-29637bd0a9a0,Isoamyl Laurate,"Light, non-greasy emollient providing smooth skin feel and spreadability",Safe,Emollient / Texture Enhancer,No known safety concerns
14e7979b-e921-452e-9a2c-e9d80427a6b6,POLYQUATERNIUM-7,"Conditioning Agent, Antistatic",Safe,Conditioning Agent,None
1534a7dc-be2d-410f-9133-5265e341c2a2,Sodium Benzoate,Antimicrobial Agent,Safe,Preservative,May cause irritation at high levels
1665e4fc-e4f7-4223-92c9-f2d3c39e297a,ISOPROPYL ALCOHOL,"Solvent, Antiseptic",Moderate,Solvent,Can be very drying to skin
169cce35-5d76-40b9-8f20-585801d5045b,GLYCERYL LINOLEATE,"Skin Conditioning, Emulsifier",Safe,Emollient,None
18d9ab83-66de-4d7a-94e1-3e4cbd951cd5,Hydroxypropyl Oxidized Starch PG-Trimonium Chloride,Film Former,Safe,Conditioning Polymer,None
1bafdc04-fe5b-4068-af3a-072e52a82756,Lactic Acid,Exfoliant and pH Adjuster,Use with caution,Active,Can cause stinging or sensitivity
1ccc5a00-508e-4793-8d0c-f27b15d2f8f7,Fragrance / Parfum,Fragrance / Masking Agent,Moderate,Fragrance,Can cause allergic reactions or irritation in sensitive individuals
21f96f9d-647e-450b-ab4e-9aadd452d639,Sodium Salicylate,Antimicrobial / Preservative Agent,Moderate,Preservative,Can cause mild irritation in sensitive skin
24884549-8f6d-4f8c-9bec-8e06e4bebfd0,Glycolic Acid,"Chemical exfoliant for improving skin texture, tone, and brightness",Safe with restrictions,Alpha Hydroxy Acid (AHA),"Can cause irritation, redness, or peeling; use sunscreen after application"
253c75e3-c25c-48ba-a105-a76179190c16,Glycerin,Moisturizer,Safe,Humectant,None
27981c61-6f38-4fba-8bed-5eced0caae7d,Linoleic Acid,Skin Conditioning / Emollient,Safe,Fatty Acid,"Generally safe, can oxidize over time"
29a30c41-73c3-4571-8d5b-04020a43e590,Sodium Methyl Cocoyl Taurate,Cleansing Agent,Safe,Surfactant,None
2cc06d45-4a65-45fd-bcb2-c88109efb793,Methylpropanediol,Improves ingredient penetration and moisturization,Safe,Solvent / Humectant,Low irritation risk
31a7a5ac-bc72-4591-8866-d4745081ed43,HEXYL CINNAMAL,Fragrance,Allergen,Fragrance,Known allergen; must be listed separately
31eb9514-ad15-40a1-bd34-9a8937b0c4ba,HYDROXYCITRONELLAL,Fragrance,Allergen,Fragrance,Known allergen; restricted by IFRA
34453959-d113-470c-92af-59f61806dc86,Dimethicone,Skin Protectant,Safe,Emollient,None
3513f180-2dfb-4f07-bcef-9aba64339644,CETEARETH-33,"Emulsifier, Surfactant",Safe,Surfactant,None
35acca77-4f66-49e7-bfb4-b453783d2f9e,Bacopa Monnieri Oil,Antioxidant / Soothing Agent,Safe,Herbal Extract,None
3800efb5-c22a-4df2-bf3d-f74973aa208e,Panthenol,Moisturizing Agent,Safe,Active,None
39b09cce-25e0-44a1-819f-07a32a1726c6,Aqua,Solvent,Safe,Base,None
3a85aeb5-3594-4a35-b64e-86eade46c95b,HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN,"Conditioning Agent, Antistatic",Safe,Conditioning Agent,None
3c3d9db7-35e5-4c8a-b1a6-6a84f7bafc92,4-Terpineol,Main antimicrobial component of Tea Tree Oil; used for acne treatment and deodorizing,Safe at low concentrations,Active Component / Terpene Alcohol,Can cause irritation if used undiluted
43907ef6-c2a4-4d7c-a0ce-441b901f95cb,GERANIOL,"Fragrance, Tonic",Allergen,Fragrance,Known allergen; oxidises on air exposure
43ccb034-eade-4245-851e-97e27e3cf722,Fragrance/Parfum,Scent,Moderate,Fragrance,May cause allergy
441e4d21-5461-49c4-a841-e67686e8df72,AMODIMETHICONE,"Antistatic, Hair Conditioning",Safe,Silicone,Can cause buildup on hair
46199a0a-b783-473b-9925-0b6801a54066,Cocamidopropyl Betaine,Foaming Agent,Moderate,Surfactant,May cause irritation
4dbaf759-6c4a-49a4-959f-373e529763f0,Caffeine,Antioxidant,Safe,Active,None
4e2813bb-522a-4034-8f09-69c961a31e48,Salix Alba (Willow) Bark Extract,Natural source of salicylic acid; used for exfoliation and acne control,Safe,Botanical Extract,Avoid use with strong acids or retinoids; may cause mild irritation
4e4c5a23-0d95-454a-a310-2ad5f760180b,TRIDECETH-6,"Surfactant, Emulsifying Agent",Safe,Surfactant,None
4e8a4a97-08e8-421e-944b-99e2b443b631,PEG-55 Propylene Glycol Oleate,Surfactant and Solubilizer,Moderate,Emulsifier,May cause mild irritation in sensitive skin
502587c7-ea75-4df4-af4d-8a66c7d8fc8f,Murraya Koenigii Leaf Oil,Hair Conditioning / Antioxidant,Safe,Essential Oil,Possible mild irritation for sensitive skin
519b8376-7491-48e4-b3cd-9033408eea16,Polyquaternium-76,Antistatic and Film Former,Safe,Conditioning Agent,None
528c1cce-c2f5-422a-9bb7-139db1e013c6,Azadirachta Indica Seed Oil,Antimicrobial / Skin Conditioning,Safe,Herbal Extract,"May have strong odor, rare irritation possible"
54277fa3-b8c8-4ed2-81fd-04745129ea6b,Methylisothiazolinone,Antimicrobial,Unsafe,Preservative,Known allergen
576ffde5-14e6-4647-88b6-7317d2ea79f2,TOCOPHEROL,"Antioxidant (Vitamin E), Skin Conditioning",Safe,Active,None
5a99890f-df3d-4c48-8af2-4047db704a7c,Aloe Barbadensis Leaf Oil,Soothing / Moisturizing,Safe,Natural Extract,None
